Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5
Bacteria|Actinobacteria|Actinobacteria|Corynebacteriales	0	3	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	4	0	1	1	3	0	2	4	1	1	3	3	0	5	0	1	3	4	2	0	0	0	1
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	2	0	14	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0	0	5	12	14	2	3	1	0	1	8	0	0	0	1	1	0	0	11	1	2	0	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales	556	228	1230	437	690	859	1036	855	473	194	706	130	218	321	768	391	477	284	464	819	107	543	173
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	13528	11857	17491	11867	24601	14032	23443	21247	16130	14719	43878	34140	3638	36044	15844	37895	23311	11635	61772	15814	6700	7252	31737
Bacteria|Bacteroidetes|Bacteroidia|Marinilabiliales	1	1	3	0	0	0	2	2	0	0	2	1	0	3	0	3	2	2	0	0	0	0	1
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	0	3	20	1	2	0	7	1	0	5	0	1	0	9	0	1	4	0	0	2	0	1	8
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	1	5	4	6	1	2	8	5	6	2	1	5	0	7	0	0	2	0	2	6	0	0	0
Bacteria|Bacteroidetes|Saprospiria|Saprospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
