ClusterID,p_value,control_mean,treatment_mean,foldchange,padj
24656,0.26865675670910144,665321272.558665,422191576.0696892,0.6345679801369379,0.46023510393166217
4420,0.269556476669364,10352179.8485107,12200862.961107822,1.1785791147033715,0.46023510393166217
14188,0.27201938129463815,597017590.3966098,482285645.6005628,0.8078248503200242,0.4628327093939516
15919,0.2723765322920585,46728478.27933322,33745103.76871977,0.7221528500671152,0.4628327093939516
30879,0.27245740716931577,16068090.013268666,28805732.96540702,1.7927291259645606,0.4628327093939516
7610,0.27166153996933556,7252375.299768992,13136122.011974376,1.811285471174223,0.4628327093939516
25161,0.27471652553890796,139557075.0091341,160692478.88517565,1.1514463087927158,0.46608037581948736
13383,0.27731957742496954,388348598.9379669,437490104.1562698,1.1265396742841154,0.4680737437882076
16091,0.2764696145626592,63034308.39224144,144647701.6850717,2.2947455976668674,0.4680737437882076
21005,0.27763539497422746,386295425.643711,275522621.90293473,0.7132432941544989,0.4680737437882076
30413,0.27672832167847755,152172980.26265365,271953424.9751368,1.7871334615760281,0.4680737437882076
30787,0.2770165106749493,27369362.333122037,22069894.934970755,0.8063722737252838,0.4680737437882076
12865,0.27939490843168435,10496201.093998175,14986675.71266366,1.427819034567962,0.47021887991386835
14514,0.28030167896273334,1144240982.783332,839862192.845034,0.7339906588576247,0.47021887991386835
23664,0.2797514158285157,15774798.03576569,732900023.5596246,46.46018426974114,0.47021887991386835
245,0.28030931738531645,6026231.727780081,40812596.07857093,6.7724903259910505,0.47021887991386835
10801,0.2845264415958878,229652165.30366257,330437290.65788865,1.438859895881934,0.47669723423430893
13985,0.28997228672224756,2143916.945209889,3210273.952597927,1.4973872750857153,0.4836700597541609
14530,0.2904298926839346,35041911.74553458,47081561.08168161,1.3435785531216418,0.4836700597541609
14548,0.2907286057680809,5827416136.041798,6413370950.467136,1.1005513937474425,0.4836700597541609
27212,0.2910084393759352,37684327.48615921,21966430.211731765,0.582906255121566,0.4836700597541609
30506,0.2912111835181535,11107478.002764324,14106427.76399698,1.2699937610037404,0.4836700597541609
30921,0.2893083482262407,233549015.65275618,96606908.5729226,0.41364725217493126,0.4836700597541609
5366,0.2897729103000289,11003952.033355018,6557064.784598437,0.5958827123857645,0.4836700597541609
11322,0.2918914534696556,1453135.0645488838,1349553.7065855763,0.9287186989769161,0.48420065581740157
5489,0.2928152876525821,344343167.85048956,451129379.580642,1.3101156686126496,0.485133476579957
10551,0.29393203261714984,27935023.330490988,26425651.80088294,0.9459684886691835,0.4853150743446507
13283,0.2958179812324324,1095062470.7642493,710399387.4716153,0.648729553279115,0.4853150743446507
15948,0.2950992015074364,6775780.112837615,12331684.589393139,1.8199652857726485,0.4853150743446507
17416,0.2941821342375394,1318117.2841305975,2728230.9284885866,2.0697937591252136,0.4853150743446507
18037,0.2957751498209165,424880254.2306989,363159342.85231465,0.8547333966127986,0.4853150743446507
2269,0.29570153716275077,83743644.17617446,114254774.31784648,1.3643396515857928,0.4853150743446507
2599,0.2947861611315811,8148875.7417897,5535434.766008592,0.6792881547599682,0.4853150743446507
28044,0.29377739411447734,32060848.266807318,19135566.423451576,0.596851532567299,0.4853150743446507
4191,0.29753424715870724,4434212.115465163,6392685.961083232,1.4416734686163337,0.48753474931255814
16209,0.29861705716043085,59431654.18799324,52565648.09777391,0.8844722364869587,0.4887123057430466
13511,0.3002916848891575,248297944.25707585,229518350.6520702,0.9243666971903636,0.4908543740819115
1668,0.30088103303918556,4725576.375348889,38287539.974694684,8.102194723679165,0.4912193994386703
14906,0.30129176149225817,21984316.160436273,16728308.174759371,0.7609201056189415,0.4912922769412035
18952,0.30188697142109006,4252630.300595342,14452199.386004476,3.398414243528589,0.49145050777415566
1950,0.3021212137955875,116382015.42024153,63229082.41519266,0.5432891171963298,0.49145050777415566
17259,0.3057707189467395,48446683.304226846,82533578.90193328,1.7035960621628858,0.4967848726713371
7872,0.30789873850882904,60426989.4792005,1828378629.7817457,30.257648867499675,0.49963737252581447
13050,0.3109255560839037,36130517.555222176,83738252.33537415,2.317659917475246,0.503004082098844
17126,0.31109790472581256,70589963.70135057,46576565.093741156,0.6598185159974806,0.503004082098844
