Cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Cluster280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster282,0,4,0,9,0,0,3,3,0,0,0,0,0,0,0,0,2
Cluster283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster285,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster287,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster289,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster290,4,0,3,9,4,4,4,5,5,5,0,0,0,0,2,0,6
Cluster291,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster296,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3
Cluster297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster299,3,0,4,2,0,4,0,0,2,0,0,0,0,2,0,0,0
Cluster300,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0
Cluster301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster303,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster307,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster308,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster309,2,0,2,2,3,2,4,0,4,2,0,2,0,3,0,2,2
Cluster310,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Cluster311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster312,0,0,0,0,0,2,0,0,0,0,5,2,2,0,0,4,2
Cluster313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster316,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0
Cluster317,17,25,17,15,26,20,10,14,9,21,22,12,22,19,25,28,18
Cluster318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster319,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0
Cluster320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster323,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,2,0
Cluster324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster326,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster329,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster330,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Cluster331,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster335,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster337,0,0,0,4,3,0,2,0,0,3,0,0,0,0,2,3,7
Cluster338,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cluster339,32,8,30,27,21,28,15,16,17,14,19,9,16,12,5,12,14
Cluster340,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster341,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster342,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster343,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster344,15,16,17,15,21,18,17,18,19,18,17,17,18,17,20,17,10
